City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,Skibbereen,51.55,-9.2667,35.6,93,75,8.05,IE,2021-01-07 18:33:00
96,Bluff,-46.6,168.3333,52.0,80,43,1.99,NZ,2021-01-07 18:33:00
97,Itoman,26.1247,127.6694,51.8,76,75,21.85,JP,2021-01-07 18:33:00
98,Egvekinot,66.3167,-179.1667,-16.08,91,97,0.98,RU,2021-01-07 18:33:01
99,Veraval,20.9,70.3667,68.29,49,0,14.94,IN,2021-01-07 18:29:42
100,Hovd,48.0056,91.6419,-12.05,79,0,0.83,MN,2021-01-07 18:33:01
101,Hilo,19.7297,-155.09,71.6,73,75,5.75,US,2021-01-07 18:28:40
102,Tasiilaq,65.6145,-37.6368,23.0,80,75,6.91,GL,2021-01-07 18:33:02
103,Ballina,-28.8667,153.5667,69.8,88,75,14.97,AU,2021-01-07 18:33:02
104,Georgetown,5.4112,100.3354,80.01,83,20,3.44,MY,2021-01-07 18:30:17
105,Mar Del Plata,-38.0023,-57.5575,73.4,68,40,14.97,AR,2021-01-07 18:30:00
106,Avera,33.194,-82.5271,51.8,46,1,10.36,US,2021-01-07 18:29:44
107,Anqiu,36.4342,119.1925,7.79,76,0,7.09,CN,2021-01-07 18:33:03
108,Mogadishu,2.0371,45.3438,76.46,79,5,23.04,SO,2021-01-07 18:33:03
109,Cairns,-16.9167,145.7667,77.0,94,44,3.44,AU,2021-01-07 18:33:04
110,Turkan,40.3639,50.215,41.0,87,0,9.22,AZ,2021-01-07 18:33:04
111,Havre-Saint-Pierre,50.2334,-63.5986,32.0,64,90,23.02,CA,2021-01-07 18:33:05
112,Kamenka,51.3223,42.7678,34.0,97,100,7.78,RU,2021-01-07 18:33:05
113,Santiago De Las Vegas,22.97,-82.3869,80.6,65,75,6.91,CU,2021-01-07 18:33:05
114,Fortuna,40.5982,-124.1573,48.0,81,1,5.75,US,2021-01-07 18:33:05
115,Saravan,39.7196,45.6483,19.4,93,90,4.61,AM,2021-01-07 18:33:05
116,Imbituba,-28.24,-48.6703,82.4,78,40,12.66,BR,2021-01-07 18:33:06
117,Port Elizabeth,-33.918,25.5701,71.6,83,0,18.41,ZA,2021-01-07 18:33:06
