City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,San Juan De Las Huertas,MX,64.4,scattered clouds,19.2464,-99.7606,Therapy SPA
495,Pacific Grove,US,61.0,clear sky,36.6177,-121.9166,Lovers Point Inn
498,Hambantota,LK,76.53,light rain,6.1241,81.1185,Bungalow 63
499,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
500,Nena,PH,78.08,overcast clouds,11.7658,125.4178,Floria's Inn
502,Limon,CR,77.0,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
503,Mitu,CO,81.59,moderate rain,1.1983,-70.1733,
510,Hosakote,IN,70.59,overcast clouds,14.2769,77.1699,AVN lodge
512,Trat,TH,68.61,clear sky,12.5,102.5,สวนหนิง-อัศ
515,Lazaro Cardenas,MX,82.33,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
516,Bintulu,MY,75.2,scattered clouds,3.1667,113.0333,900 Boutique INN
517,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
518,Tsabong,BW,81.66,overcast clouds,-26.0217,22.401,Springbok Motel
519,Tabou,CI,79.23,few clouds,4.423,-7.3528,hotêl doufoulougou
520,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
521,Kralendijk,BQ,82.4,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
522,Gwadar,PK,61.34,clear sky,25.1216,62.3254,Sadaf Resort
523,Cairns,AU,77.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
524,Sebring,US,66.0,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
526,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
529,Knysna,ZA,62.6,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
530,Jawhar,SO,72.77,broken clouds,2.7809,45.5005,cosoble spare parts
531,Imbituba,BR,82.4,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
532,Dharapuram,IN,73.4,light rain,10.7333,77.5167,Sakthi Lodge
535,Moerai,PF,80.49,light rain,-22.4333,-151.3333,Le Manotel
536,Allahganj,IN,52.84,clear sky,27.55,79.6833,Rajesh TVS Motors
539,Ilam,NP,51.85,overcast clouds,26.9167,87.9167,Chiyabari Cottage
544,Bandarbeyla,SO,72.36,clear sky,9.4942,50.8122,JABIR HOTEL
546,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
547,Axim,GH,79.88,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
549,Beroroha,MG,77.97,moderate rain,-21.6667,45.1667,
551,Darnah,LY,71.8,clear sky,32.766999999999996,22.6367,فندق الفردوس
556,Banda Aceh,ID,77.81,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
557,San Felipe,VE,75.76,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
558,Vao,NC,78.1,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
559,Luba,GQ,80.6,few clouds,3.4568,8.5547,
560,Realeza,BR,84.4,broken clouds,-25.7689,-53.5325,Hotel Renascer
561,Sapa,PH,81.59,scattered clouds,5.1544,120.3241,
562,Clarence Town,AU,64.0,few clouds,-32.5833,151.7833,River Downs Cottage
563,Charcas,MX,63.28,clear sky,23.1333,-101.1167,Hotel El Malacate
564,Maridi,SS,75.99,clear sky,4.9158,29.4742,
566,Broken Hill,AU,73.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
567,Casay,PH,77.18,broken clouds,9.8204,123.5496,Blue Pot Family Resort
573,Kalmunai,LK,75.94,light rain,7.4167,81.8167,VS Villa
578,Santa Rosa,PH,75.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
580,Zacualpan,MX,77.0,few clouds,21.25,-105.1667,La Colorada B&B
581,Nioro,GM,81.75,scattered clouds,13.35,-15.75,
584,Filingue,NE,79.16,clear sky,14.3521,3.3168,
585,Kailua,US,78.8,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
586,Kon Tum,VN,59.77,clear sky,14.35,108.0,Hoa đà spa- homestay
588,Jadu,LY,66.9,clear sky,31.953000000000003,12.0261,سيفاو عبازة
591,Najran,SA,53.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
593,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
