City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,East London,ZA,77.0,clear sky,-33.0153,27.9116,Tu Casa
147,Port Alfred,ZA,73.99,broken clouds,-33.5906,26.891,The Halyards Hotel
159,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
161,Esperance,AU,77.0,overcast clouds,-33.8667,121.9,Hospitality Esperance
165,Airai,TL,62.13,overcast clouds,-8.9266,125.4092,Juvinal Martin
169,Matara,LK,74.61,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
172,San Quintin,MX,63.75,clear sky,30.4833,-115.95,Old Mill Hotel
173,Cabo San Lucas,MX,75.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
174,Broken Hill,AU,73.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
179,Bengkulu,ID,75.27,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
184,Camana,PE,74.57,overcast clouds,-16.6228,-72.7111,Hostal Morales
185,Hilo,US,73.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
187,Atambua,ID,75.94,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
188,Taoudenni,ML,79.12,overcast clouds,22.6783,-3.9836,
190,Pizarro,CO,77.81,light rain,4.9533,-77.366,Hotel Limonar
191,Tabou,CI,79.75,scattered clouds,4.423,-7.3528,hotêl doufoulougou
192,Paraiso,CR,78.8,few clouds,9.8383,-83.8656,Rinconcito Verde
193,Dekar,BW,78.8,scattered clouds,-21.5333,21.9333,
194,Boyolangu,ID,75.85,overcast clouds,-8.1181,111.8935,Yos ega cv
195,Port Blair,IN,79.93,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
203,Port Augusta,AU,70.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
204,Pringsewu,ID,72.03,moderate rain,-5.3582,104.9744,Urban Style by Front One
208,Doka,SD,77.79,clear sky,13.5167,35.7667,
209,Samalkot,IN,68.05,overcast clouds,17.05,82.1833,Hotel Sai Residency
210,Diffa,NE,74.01,clear sky,13.3154,12.6113,ProDAF/Diffa
213,Tezu,IN,63.46,broken clouds,27.9167,96.1667,Circuit House
215,Los Llanos De Aridane,ES,60.8,few clouds,28.6585,-17.9182,Valle Aridane
217,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
220,Plettenberg Bay,ZA,68.7,light rain,-34.0527,23.3716,Thanda Vista B&B
226,Forbes,AU,62.01,clear sky,-33.3833,148.0167,Lake Forbes Motel
227,Yeppoon,AU,71.6,overcast clouds,-23.1333,150.7333,Villa Mar Colina
231,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
233,Kruisfontein,ZA,73.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
234,Bulawayo,ZW,68.7,moderate rain,-20.15,28.5833,4 On Housman Backpackers
235,Kisangani,CD,73.31,overcast clouds,0.5167,25.2,Grand Ramela Hotel
238,Guerrero Negro,MX,68.99,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
241,Hambantota,LK,75.2,heavy intensity rain,6.1241,81.1185,Bungalow 63
244,Port Lincoln,AU,67.91,clear sky,-34.7333,135.8667,Port Lincoln Hotel
245,Iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
248,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
251,Ajdabiya,LY,71.31,clear sky,30.7554,20.2263,Almadina Hotel
252,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
253,Lompoc,US,64.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
254,Birao,CF,76.08,broken clouds,10.2849,22.7882,
255,Maldonado,UY,73.99,broken clouds,-34.6667,-54.9167,La Cimarrona
257,Nabire,ID,75.58,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
259,Biak,ID,76.82,clear sky,-0.9131,122.8766,Penginapan Kim
261,Prachuap Khiri Khan,TH,65.89,clear sky,12.2167,99.75,สมบัติยาย
264,Mpongwe,ZM,66.97,overcast clouds,-13.5091,28.155,GCMF Office & Lodge
265,Aswan,EG,67.42,clear sky,24.0934,32.907,Nuba Nile
267,Shakawe,BW,76.41,light rain,-18.3667,21.85,Ditlhapi Guest House
268,Ampanihy,MG,78.67,clear sky,-24.7,44.75,Angora Hotel
272,Kaoma,ZM,68.49,light rain,-14.7833,24.8,KAOMA AIRPORT
274,Tukrah,LY,68.7,clear sky,32.5341,20.5791,Lokta restaurant
275,Kattivakkam,IN,78.8,light rain,13.2167,80.3167,Raj's villa
277,Vao,NC,77.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
